Teufe,qc,fs
[m],[MN/m²],[MN/m²]
0.0000000000,0.0000000000,0.0000000000
0.0200000000,0.0000000000,0.0000000000
0.0400000000,0.0672000000,0.0000000000
0.0600000000,0.1176000000,0.0002000000
0.0800000000,0.1912000000,0.0004000000
0.1000000000,0.2648000000,0.0007000000
0.1200000000,0.3268000000,0.0013000000
0.1400000000,0.4546000000,0.0019000000
0.1600000000,0.5592000000,0.0023000000
0.1800000000,0.6793000000,0.0028000000
0.2000000000,0.8188000000,0.0033000000
0.2200000000,1.0086000000,0.0043000000
0.2400000000,2.1941000000,0.0090000000
0.2600000000,2.8566000000,0.0119000000
0.2800000000,2.6125000000,0.0106000000
0.3000000000,2.5766000000,0.0108000000
0.3200000000,2.5816000000,0.0109000000
0.3400000000,2.6900000000,0.0111000000
0.3600000000,2.8256000000,0.0114000000
0.3800000000,2.9457000000,0.0114000000
0.4000000000,3.1394000000,0.0119000000
0.4200000000,3.2673000000,0.0123000000
0.4400000000,3.3796000000,0.0128000000
0.4600000000,3.5036000000,0.0132000000
0.4800000000,3.6934000000,0.0136000000
0.5000000000,3.7942000000,0.0139000000
0.5200000000,3.9065000000,0.0144000000
0.5400000000,3.9995000000,0.0148000000
0.5600000000,4.0886000000,0.0151000000
0.5800000000,4.1738000000,0.0155000000
0.6000000000,4.2319000000,0.0158000000
0.6200000000,4.2746000000,0.0163000000
0.6400000000,4.2862000000,0.0166000000
0.6600000000,4.3249000000,0.0168000000
0.6800000000,4.3172000000,0.0168000000
0.7000000000,4.3094000000,0.0158000000
0.7200000000,4.2784000000,0.0155000000
0.7400000000,4.2281000000,0.0161000000
0.7600000000,4.1932000000,0.0156000000
0.7800000000,4.1312000000,0.0153000000
0.8000000000,3.9685000000,0.0143000000
0.8200000000,3.9336000000,0.0145000000
0.8400000000,3.8949000000,0.0145000000
0.8600000000,3.8290000000,0.0140000000
0.8800000000,3.7670000000,0.0139000000
0.9000000000,3.6741000000,0.0134000000
0.9200000000,3.5307000000,0.0128000000
0.9400000000,3.4339000000,0.0126000000
0.9600000000,3.3331000000,0.0124000000
0.9800000000,3.2440000000,0.0121000000
1.0000000000,3.1084000000,0.0115000000
1.0200000000,3.0387000000,0.0113000000
1.0400000000,2.9496000000,0.0110000000
1.0600000000,2.8566000000,0.0108000000
1.0800000000,2.7946000000,0.0105000000
1.1000000000,2.7326000000,0.0102000000
1.1200000000,2.6823000000,0.0105000000
1.1400000000,2.6523000000,0.0107000000
1.1600000000,2.6501000000,0.0106000000
1.1800000000,2.6978000000,0.0100000000
1.2000000000,2.4266000000,0.0098000000
1.2200000000,2.4150000000,0.0095000000
1.2400000000,2.3801000000,0.0093000000
1.2600000000,2.3568000000,0.0089000000
1.2800000000,2.3297000000,0.0088000000
1.3000000000,2.3259000000,0.0084000000
1.3200000000,2.3065000000,0.0083000000
